id,value,object
Negative,1928,272655
Negative,1928,272682
Negative,1928,272684
Negative,1928,272686
Negative,1928,272689
Negative,1928,272711
Negative,1928,272722
Negative,1928,272766
Negative,1928,272777
Negative,1928,272789
Negative,1928,272800
Negative,1928,272844
Negative,1928,272855
Negative,1928,272866
Negative,1928,272877
Negative,1928,272888
Negative,1928,272900
Negative,1928,272933
Negative,1928,272944
Negative,1928,272955
Negative,1928,272966
Negative,1928,272977
Negative,1928,272988
Negative,1928,272999
Negative,1928,273011
Negative,1928,273043
Negative,1928,273054
Negative,1928,273064
Negative,1928,273086
Negative,1928,273097
Negative,1928,273099
Negative,1928,273108
Negative,1928,273116
Negative,1928,273117
Negative,1928,273120
Negative,1928,273121
Negative,1928,273122
Negative,1928,273123
Negative,1928,273124
Negative,1928,273125
Negative,1928,273126
Negative,1928,273127
Negative,1928,273141
Negative,1928,273152
Negative,1928,273163
Negative,1928,273174
Negative,1928,273185
Negative,1928,273207
Negative,1928,273211
Negative,1928,273212
Negative,1928,273213
Negative,1928,273214
Negative,1928,273215
Negative,1928,273216
Negative,1928,273218
Negative,1928,274474
Negative,1928,274475
Negative,1928,274707
Negative,1928,277615
Negative,1928,277661
Negative,1928,277766
Negative,1928,277812
Negative,1928,278987
Negative,1928,279124
Photograph,1928,282392
Photograph,1928,282403
Photograph,1928,282404
Photograph,1928,282405
Photograph,1928,282851
Photograph,1928,282852
Negative,1928,285598
Negative,1928,285604
Negative,1928,285605
Negative,1928,272198
Negative,1928,272224
Negative,1928,272225
Negative,1928,272226
Negative,1928,272227
Negative,1928,272228
Negative,1928,272458
Negative,1928,272459
Negative,1928,272460
Negative,1928,272461
Negative,1928,272462
Negative,1928,272463
Negative,1928,272464
Negative,1928,272465
Negative,1928,272476
Negative,1928,272477
Negative,1928,272479
Negative,1928,272480
Negative,1928,272481
Negative,1928,272482
Negative,1928,272483
Negative,1928,272484
Negative,1928,272485
Negative,1928,272486
Negative,1928,272487
Negative,1928,272488
Negative,1928,272490
Negative,1928,272492
Negative,1928,272493
Negative,1928,272496
Negative,1928,272585
Negative,1928,272586
Negative,1928,272587
Negative,1928,272662
Negative,1928,272663
Negative,1928,272664
Negative,1928,272665
Negative,1928,272667
Negative,1928,272668
Negative,1928,272669
Negative,1928,272670
Negative,1928,272671
Negative,1928,272672
Negative,1928,273062
Negative,1928,273100
Negative,1928,273103
Negative,1928,273104
Negative,1928,273105
Negative,1928,273106
Negative,1928,273107
Negative,1928,274682
Negative,1928,274704
Negative,1928,273217
Negative,1928,274417
Negative,1928,274419
Negative,1928,274421
Negative,1928,274422
Negative,1928,274423
Negative,1928,274424
Negative,1928,274459
Negative,1928,274460
