Acquired,Department,Created
1971.180.20,American Decorative Arts,1795
1971.180.21,American Decorative Arts,1795
1971.180.22,American Decorative Arts,1795
1971.180.23,American Decorative Arts,1795
1971.180.24,American Decorative Arts,1795
1971.180.25,American Decorative Arts,1795
1971.180.26,American Decorative Arts,1795
1971.180.27,American Decorative Arts,1800
60.4.4,American Decorative Arts,1791
60.4.5,American Decorative Arts,1791
60.4.6,American Decorative Arts,1791
60.4.7,American Decorative Arts,1791
60.4.8,American Decorative Arts,1791
60.4.9,American Decorative Arts,1791
60.4.10,American Decorative Arts,1791
60.4.11,American Decorative Arts,1791
60.4.12,American Decorative Arts,1791
60.4.13,American Decorative Arts,1791
65.188.2,American Decorative Arts,1810
65.188.3,American Decorative Arts,1810
65.188.4,American Decorative Arts,1810
65.188.5,American Decorative Arts,1810
65.188.6,American Decorative Arts,1810
65.188.7,American Decorative Arts,1810
65.188.8,American Decorative Arts,1810
65.188.9,American Decorative Arts,1810
65.188.10,American Decorative Arts,1810
65.188.11,American Decorative Arts,1810
65.188.12,American Decorative Arts,1810
65.188.13,American Decorative Arts,1810
65.188.14,American Decorative Arts,1810
50.130.149m recto,American Paintings and Sculpture,1889
31.44.4,American Decorative Arts,1795
50.130.149m verso,American Paintings and Sculpture,1889
1986.47.3,American Decorative Arts,1878
1986.47.4,American Decorative Arts,1878
10.125.697,American Decorative Arts,1650
42.36,American Decorative Arts,1816
43.162.10,American Decorative Arts,1816
43.162.29,American Decorative Arts,1756
62.89.20,American Decorative Arts,1810
62.89.21,American Decorative Arts,1810
41.34.13,American Decorative Arts,1842
49.155.2,American Decorative Arts,1650
52.77.48,American Decorative Arts,1670
63.200.24,American Decorative Arts,1870
63.200.25,American Decorative Arts,1870
63.200.26,American Decorative Arts,1870
63.200.27,American Decorative Arts,1870
63.200.28,American Decorative Arts,1870
1974.355,American Decorative Arts,1878
69.205.10,American Decorative Arts,1830
69.205.11,American Decorative Arts,1830
46.140.117,American Decorative Arts,1850
46.140.118,American Decorative Arts,1850
46.140.119,American Decorative Arts,1850
46.140.120,American Decorative Arts,1850
69.205.4,American Decorative Arts,1830
69.205.5,American Decorative Arts,1830
69.205.6,American Decorative Arts,1830
69.205.7,American Decorative Arts,1830
69.205.8,American Decorative Arts,1830
69.205.9,American Decorative Arts,1830
23.111.1,American Decorative Arts,1670
23.111.2,American Decorative Arts,1770
24.136.2,American Decorative Arts,1725
24.138,American Decorative Arts,1787
34.75.1,American Decorative Arts,1810
34.100.193,American Decorative Arts,1700
34.100.195,American Decorative Arts,1797
34.110,American Decorative Arts,1870
37.158,American Decorative Arts,1747
45.27.1,American Decorative Arts,1827
46.67.144,American Decorative Arts,1810
48.159,American Decorative Arts,1770
54.62,American Decorative Arts,1700
56.109.2,American Decorative Arts,1900
60.168,American Decorative Arts,1790
64.36.3a–I,American Decorative Arts,1850
68.177.1,American Decorative Arts,1795
1979.294,American Decorative Arts,1830
67.193,American Decorative Arts,1845
67.199a–h,American Decorative Arts,1842
1986.445,American Decorative Arts,1907
"Inst.1974.357a, b",American Decorative Arts,1901
1974.214.1a–ii,American Decorative Arts,1897
69.150,American Decorative Arts,1896
41.190.363,American Decorative Arts,1900
24.68.1,American Decorative Arts,1765
24.68.2,American Decorative Arts,1765
42.77.1,American Decorative Arts,1810
42.77.2,American Decorative Arts,1810
2012.574a–c,American Decorative Arts,1773
1980.143,American Decorative Arts,1677
2013.1138,American Decorative Arts,1847
"46.140.418a, b",American Decorative Arts,1887
69.144.1,American Decorative Arts,1861
46.67.74a–gg,American Decorative Arts,1797
10.125.22,American Decorative Arts,1650
10.125.23,American Decorative Arts,1685
10.125.24,American Decorative Arts,1670
10.125.25,American Decorative Arts,1675
10.125.27,American Decorative Arts,1650
10.125.668,American Decorative Arts,1650
10.125.700,American Decorative Arts,1675
31.30,American Decorative Arts,1640
47.133.3,American Decorative Arts,1650
66.10.15,American Decorative Arts,1835
10.125.685,American Decorative Arts,1663
55.84,American Decorative Arts,1800
1983.598,American Decorative Arts,1900
08.119.2,American Decorative Arts,1675
10.125.37,American Decorative Arts,1697
10.125.38,American Decorative Arts,1675
10.125.50,American Decorative Arts,1675
10.125.339,American Decorative Arts,1795
10.125.686,American Decorative Arts,1670
34.100.10,American Decorative Arts,1835
38.97,American Decorative Arts,1735
41.160.1078,American Decorative Arts,1780
45.78.3,American Decorative Arts,1735
48.158.9,American Decorative Arts,1690
48.158.11,American Decorative Arts,1700
52.195.3,American Decorative Arts,1780
50.130.149h,American Paintings and Sculpture,1889
1971.180.38,American Decorative Arts,1810
1971.180.41,American Decorative Arts,1750
32.55.3,American Decorative Arts,1800
66.190.1,American Decorative Arts,1675
"1972.130a, b",American Decorative Arts,1755
69.146.2,American Decorative Arts,1877
27.57.1,American Decorative Arts,1765
68.97.14,American Decorative Arts,1882
19.99,American Decorative Arts,1750
53.198a–c,American Decorative Arts,1796
63.172,American Decorative Arts,1760
64.249.3,American Decorative Arts,1760
1975.91,American Decorative Arts,1770
10.125.15a–d,American Decorative Arts,1705
69.209,American Decorative Arts,1670
10.125.16,American Decorative Arts,1705
10.125.29,American Decorative Arts,1705
10.125.31,American Decorative Arts,1650
10.125.682,American Decorative Arts,1690
34.128,American Decorative Arts,1700
45.78.1,American Decorative Arts,1650
45.78.4,American Decorative Arts,1720
45.78.5,American Decorative Arts,1735
10.125.32,American Decorative Arts,1670
10.125.33,American Decorative Arts,1670
30.120.378,American Decorative Arts,1650
10.125.689,American Decorative Arts,1675
69.183,American Decorative Arts,1812
10.125.281,American Decorative Arts,1750
2002.620,American Decorative Arts,1901
52.113.1,American Decorative Arts,1850
10.125.93,American Decorative Arts,1725
42.139a,American Decorative Arts,1730
10.125.55,American Decorative Arts,1700
10.125.59,American Decorative Arts,1700
"48.135.1a, b",American Decorative Arts,1841
1970.31,American Decorative Arts,1824
1973.283,American Decorative Arts,1822
33.120.220,American Decorative Arts,1725
33.120.221,American Decorative Arts,1700
53.77,American Decorative Arts,1903
45.35.5,American Decorative Arts,1780
45.35.6,American Decorative Arts,1780
1980.502.88,American Decorative Arts,1780
1980.502.89,American Decorative Arts,1780
33.120.374,American Decorative Arts,1722
10.125.588d,American Decorative Arts,1700
41.140.2,American Decorative Arts,1890
10.125.599 z 20.1,American Decorative Arts,1700
46.140.866,American Decorative Arts,1860
46.140.827,American Decorative Arts,1850
46.140.828,American Decorative Arts,1850
46.140.829,American Decorative Arts,1850
46.140.830,American Decorative Arts,1850
48.133,American Decorative Arts,1747
15.61.3b,American Decorative Arts,1870
83.2.90,American Decorative Arts,1800
83.2.92,American Decorative Arts,1776
83.2.93,American Decorative Arts,1800
"Inst.68.8.24a, b",American Decorative Arts,1820
83.2.59,American Decorative Arts,1770
62.177,American Decorative Arts,1770
X.139.1,American Decorative Arts,1750
X.139.2,American Decorative Arts,1750
X.139.3,American Decorative Arts,1750
X.139.4,American Decorative Arts,1750
X.139.5,American Decorative Arts,1750
X.139.6,American Decorative Arts,1750
83.2.75,American Decorative Arts,1792
1974.214.23,American Decorative Arts,1890
31.41.1,American Decorative Arts,1815
25.111,American Decorative Arts,1800
"68.165.9a, b",American Decorative Arts,1857
68.97.4,American Decorative Arts,1882
62.171.11,American Decorative Arts,1792
62.233.16,American Decorative Arts,1902
10.125.666 S,American Decorative Arts,1690
1981.160.2,American Decorative Arts,1747
1983.572,American Decorative Arts,1849
50.114,American Decorative Arts,1760
1970.190,American Decorative Arts,1800
47.90.125,American Decorative Arts,1830
46.67.128,American Decorative Arts,1797
41.34.55,American Decorative Arts,1832
39.18.3,American Decorative Arts,1781
"60.111.168, .184",American Decorative Arts,1860
"60.111.169, .185",American Decorative Arts,1860
"60.111.170, .186",American Decorative Arts,1860
"60.111.171, .187",American Decorative Arts,1860
"69.194.152, .162",American Decorative Arts,1885
"69.194.153, .163",American Decorative Arts,1885
"69.194.154, .164",American Decorative Arts,1885
"69.194.155, .165",American Decorative Arts,1885
"69.194.156, .166",American Decorative Arts,1885
"69.194.157, .167",American Decorative Arts,1885
"69.194.158, .168",American Decorative Arts,1885
"69.194.159, .169",American Decorative Arts,1885
"69.194.160, .170",American Decorative Arts,1885
"69.194.161, .171",American Decorative Arts,1885
69.194.172,American Decorative Arts,1885
"1971.179.1a, b",American Decorative Arts,1840
1987.31.1,American Decorative Arts,1845
"27.17.15a, b",American Decorative Arts,1767
"27.17.24a, b",American Decorative Arts,1772
34.100.184,American Decorative Arts,1800
34.100.185,American Decorative Arts,1800
34.100.186,American Decorative Arts,1840
"46.64.3a, b",American Decorative Arts,1757
"1971.180.113a, b",American Decorative Arts,1800
33.120.223,American Decorative Arts,1780
42.88,American Decorative Arts,1762
41.70.1,American Decorative Arts,1745
33.120.529,American Decorative Arts,1825
24.109.10,American Decorative Arts,1790
"22.26.3a, b",American Decorative Arts,1800
1985.343.3,American Decorative Arts,1837
10.162.3,American Decorative Arts,1846
2012.244.1,American Decorative Arts,1761
83.2.367,American Decorative Arts,1821
2006.446,American Decorative Arts,1792
"63.88.7a, b",American Decorative Arts,1835
27.85.8,American Decorative Arts,1705
33.120.224,American Decorative Arts,1730
33.120.225,American Decorative Arts,1787
"1974.214.21a, b",American Decorative Arts,1900
1980.503.1,American Decorative Arts,1797
"42.149.32a, b",American Decorative Arts,1800
1971.180.82,American Decorative Arts,1727
83.2.29,American Decorative Arts,1783
83.2.37,American Decorative Arts,1770
83.2.38,American Decorative Arts,1770
16.74.41,American Paintings and Sculpture,1750
16.74.42,American Paintings and Sculpture,1750
83.2.30,American Decorative Arts,1783
83.2.34,American Decorative Arts,1795
83.2.40,American Decorative Arts,1795
83.2.41,American Decorative Arts,1770
Inst.68.8.1,American Decorative Arts,1820
Inst.68.8.2,American Decorative Arts,1820
Inst.68.8.8,American Decorative Arts,1820
Inst.68.8.9,American Decorative Arts,1820
40.150.105,American Decorative Arts,1840
20.109.20,American Decorative Arts,1890
20.109.21,American Decorative Arts,1870
68.184,American Decorative Arts,1905
Inst.1974.2.1,American Decorative Arts,1827
52.43.3,American Decorative Arts,1902
41.84.16,American Decorative Arts,1907
53.153.5,American Decorative Arts,1897
53.153.6,American Decorative Arts,1897
1980.358,American Decorative Arts,1840
13.179.1,American Decorative Arts,1830
33.120.230a,American Decorative Arts,1737
13.179.2,American Decorative Arts,1830
33.120.574,American Decorative Arts,1797
30.120.355,American Decorative Arts,1850
40.151,American Decorative Arts,1815
46.140.1,American Decorative Arts,1850
46.140.2,American Decorative Arts,1850
46.140.4,American Decorative Arts,1850
46.140.781,American Decorative Arts,1850
51.171.6,American Decorative Arts,1800
51.171.10,American Decorative Arts,1800
51.171.11,American Decorative Arts,1830
51.171.12,American Decorative Arts,1830
51.171.13,American Decorative Arts,1800
51.171.14,American Decorative Arts,1800
51.171.15,American Decorative Arts,1832
51.171.16,American Decorative Arts,1800
51.171.17,American Decorative Arts,1800
51.171.33,American Decorative Arts,1800
51.171.34,American Decorative Arts,1832
57.131.15,American Decorative Arts,1800
66.154.3,American Decorative Arts,1837
67.262.4,American Decorative Arts,1853
68.197,American Decorative Arts,1790
1980.502.10,American Decorative Arts,1835
1983.63.2,American Decorative Arts,1810
57.131.14,American Decorative Arts,1830
69.257,American Decorative Arts,1855
1972.232.1,American Decorative Arts,1861
48.135.3,American Decorative Arts,1841
46.140.764,American Decorative Arts,1882
46.140.382,American Decorative Arts,1885
69.39,American Decorative Arts,1897
1984.443.7,American Decorative Arts,1875
68.114,American Decorative Arts,1857
Inst.67.15.1,American Decorative Arts,1815
69.194.178,American Decorative Arts,1885
Inst.67.15.2,American Decorative Arts,1815
Inst.67.15.3,American Decorative Arts,1815
69.194.177,American Decorative Arts,1885
69.194.179,American Decorative Arts,1885
46.140.540,American Decorative Arts,1870
46.140.541,American Decorative Arts,1870
46.140.855,American Decorative Arts,1860
46.140.856,American Decorative Arts,1860
46.140.853,American Decorative Arts,1876
46.140.854,American Decorative Arts,1876
46.140.637,American Decorative Arts,1870
46.140.638,American Decorative Arts,1870
46.140.542,American Decorative Arts,1870
46.140.543,American Decorative Arts,1870
46.140.544,American Decorative Arts,1870
1984.447,American Decorative Arts,1921
69.194.40,American Decorative Arts,1885
69.194.41,American Decorative Arts,1885
69.194.42,American Decorative Arts,1885
69.194.43,American Decorative Arts,1885
69.194.44,American Decorative Arts,1885
69.194.45,American Decorative Arts,1885
69.194.46,American Decorative Arts,1885
69.194.47,American Decorative Arts,1885
69.194.48,American Decorative Arts,1885
69.194.49,American Decorative Arts,1885
49.117.1,American Decorative Arts,1770
53.205,American Decorative Arts,1784
1970.126.1,American Decorative Arts,1812
1999.303,American Decorative Arts,1850
1971.154,American Decorative Arts,1810
1980.510.1,American Decorative Arts,1852
1980.510.2,American Decorative Arts,1852
92.10.92,American Decorative Arts,1867
47.70,American Decorative Arts,1755
46.140.797,American Decorative Arts,1830
1980.502.23,American Decorative Arts,1800
46.140.127,American Decorative Arts,1850
46.140.509,American Decorative Arts,1882
69.94.6,American Decorative Arts,1904
46.140.868,American Decorative Arts,1865
46.140.869,American Decorative Arts,1865
46.140.870,American Decorative Arts,1865
46.140.871,American Decorative Arts,1865
46.140.182,American Decorative Arts,1800
46.140.183,American Decorative Arts,1830
46.140.184,American Decorative Arts,1830
10.125.403,American Decorative Arts,1750
25.115.30,American Decorative Arts,1750
34.100.28,American Decorative Arts,1747
69.262.11,American Decorative Arts,1800
69.262.12,American Decorative Arts,1800
69.262.13,American Decorative Arts,1800
69.262.14,American Decorative Arts,1800
41.84.20a–f,American Decorative Arts,1880
10.125.175,American Decorative Arts,1690
10.125.178,American Decorative Arts,1760
22.126,American Decorative Arts,1725
45.32,American Decorative Arts,1740
62.171.23,American Decorative Arts,1725
1983.148,American Decorative Arts,1851
45.168,American Decorative Arts,1762
13.31.29,American Decorative Arts,1770
14.120.1,American Decorative Arts,1700
33.120.628,American Decorative Arts,1800
36.22.15,American Decorative Arts,1750
36.22.16,American Decorative Arts,1750
17.108.16,American Decorative Arts,1797
33.120.230b,American Decorative Arts,1737
1984.395.8,American Decorative Arts,1849
14.11.6,American Decorative Arts,1849
"1985.188a, b",American Decorative Arts,1886
"46.140.857a, b",American Decorative Arts,1878
"11.87.44a, b",American Decorative Arts,1817
"11.87.48a, b",American Decorative Arts,1822
"20.14.9a, b",American Decorative Arts,1800
"20.14.10a, b",American Decorative Arts,1800
"20.14.11a, b",American Decorative Arts,1800
"27.17.25a, b",American Decorative Arts,1730
"33.120.128a, b",American Decorative Arts,1735
"34.100.153a, b",American Decorative Arts,1800
"39.56.2a, b",American Decorative Arts,1800
"46.140.643a, b",American Decorative Arts,1880
"51.171.183a, b",American Decorative Arts,1840
"33.120.129a, b",American Decorative Arts,1835
"46.140.639a, b",American Decorative Arts,1870
"46.140.640a, b",American Decorative Arts,1870
"27.85.7a, b",American Decorative Arts,1854
"54.65.1a, b",American Decorative Arts,1830
"34.100.149a, b",American Decorative Arts,1830
"34.100.150a, b",American Decorative Arts,1832
"34.100.151a, b",American Decorative Arts,1830
"46.140.484a, b",American Decorative Arts,1882
"46.140.485a, b",American Decorative Arts,1882
"33.120.132a, b",American Decorative Arts,1810
"46.67.22a, b",American Decorative Arts,1778
"44.25.1a, b",American Decorative Arts,1765
"51.121.30a, b",American Decorative Arts,1898
"51.121.33a, b",American Decorative Arts,1898
"51.121.35a, b",American Decorative Arts,1898
"51.121.41a, b",American Decorative Arts,1898
04.6.18a–d,American Decorative Arts,1900
33.120.134,American Decorative Arts,1790
"10.149.232a, b",American Decorative Arts,1785
10.149.233,American Decorative Arts,1785
83.2.326a,American Decorative Arts,1770
83.2.335,American Decorative Arts,1775
"83.2.336a, b",American Decorative Arts,1775
"45.109a, b",American Decorative Arts,1712
"33.120.139a, b",American Decorative Arts,1753
"51.121.42a, b",American Decorative Arts,1898
"51.121.44a, b",American Decorative Arts,1902
"62.233.17a, b",American Decorative Arts,1907
"27.17.19a, b",American Decorative Arts,1750
"46.140.30a, b",American Decorative Arts,1850
"46.140.550a, b",American Decorative Arts,1870
"46.140.84a, b",American Decorative Arts,1850
"46.140.641a, b",American Decorative Arts,1870
"46.140.551a, b",American Decorative Arts,1885
1984.395.5,American Decorative Arts,1849
"52.77.26a, b",American Decorative Arts,1760
"52.77.27a, b",American Decorative Arts,1760
"55.203a, b",American Decorative Arts,1832
"46.140.825a, b",American Decorative Arts,1850
"46.140.83a, b",American Decorative Arts,1850
"46.140.858a, b",American Decorative Arts,1880
38.165.38,American Decorative Arts,1785
"52.170a, b",American Decorative Arts,1735
1985.83a–c,American Decorative Arts,1901
"34.100.156a, b",American Decorative Arts,1800
"46.140.290a, b",American Decorative Arts,1880
"51.171.36a, b",American Decorative Arts,1835
"46.140.281a, b",American Decorative Arts,1884
"46.140.282a, b",American Decorative Arts,1888
13.31.19,American Decorative Arts,1851
"1987.170.2a, b",American Decorative Arts,1830
"46.140.644a, b",American Decorative Arts,1870
"46.140.740a, b",American Decorative Arts,1880
"46.140.741a, b",American Decorative Arts,1880
"46.140.742a, b",American Decorative Arts,1880
"46.140.743a, b",American Decorative Arts,1880
"46.140.744a, b",American Decorative Arts,1880
"46.140.745a, b",American Decorative Arts,1880
"46.140.746a, b",American Decorative Arts,1880
"46.140.747a, b",American Decorative Arts,1880
"46.140.748a, b",American Decorative Arts,1880
"46.140.749a, b",American Decorative Arts,1880
"46.140.750a, b",American Decorative Arts,1880
"46.140.751a, b",American Decorative Arts,1880
"46.140.752a, b",American Decorative Arts,1880
"46.140.753a, b",American Decorative Arts,1880
"46.140.754a, b",American Decorative Arts,1880
"46.140.755a, b",American Decorative Arts,1880
"46.140.756a, b",American Decorative Arts,1880
"46.140.757a, b",American Decorative Arts,1880
"46.140.758a, b",American Decorative Arts,1880
"1982.34a, b",American Decorative Arts,1831
"1986.447.3a, b",American Decorative Arts,1880
36.22.8,American Decorative Arts,1750
"Inst.67.15.4a, b",American Decorative Arts,1815
"Inst.67.15.5a, b",American Decorative Arts,1815
"46.140.318a, b",American Decorative Arts,1850
"46.140.319a, b",American Decorative Arts,1850
"28.52a, b",American Decorative Arts,1788
"46.140.552a, b",American Decorative Arts,1870
"46.67.25a, b",American Decorative Arts,1785
"46.67.26a, b",American Decorative Arts,1785
"53.133.2a, b",American Decorative Arts,1800
"53.133.3a, b",American Decorative Arts,1800
13.206.4,American Decorative Arts,1825
"17.108.10a, b",American Decorative Arts,1797
"17.108.24a, b",American Decorative Arts,1840
"18.27.1a, b",American Decorative Arts,1800
"36.137a, b",American Decorative Arts,1800
"46.140.267a, b",American Decorative Arts,1885
"46.140.268a, b",American Decorative Arts,1885
"46.140.645a, b",American Decorative Arts,1870
"46.140.553a, b",American Decorative Arts,1870
"46.140.298a, b",American Decorative Arts,1880
"46.140.299a, b",American Decorative Arts,1880
26.25.1,American Decorative Arts,1739
18.95.16,American Decorative Arts,1820
"46.140.483a, b",American Decorative Arts,1883
18.95.17,American Decorative Arts,1820
"34.100.159a, b",American Decorative Arts,1830
13.7.20,American Decorative Arts,1800
13.7.21,American Decorative Arts,1800
26.25.2,American Decorative Arts,1739
26.25.3,American Decorative Arts,1739
1986.307.2,American Decorative Arts,1888
"44.110.5a, b",American Decorative Arts,1740
"54.87.36a, b",American Decorative Arts,1790
"54.87.37a, b",American Decorative Arts,1790
"54.87.38a, b",American Decorative Arts,1790
"54.87.39a, b",American Decorative Arts,1790
10.125.463,American Decorative Arts,1825
"23.130.2a, b",American Decorative Arts,1750
"48.135.2a, b",American Decorative Arts,1841
"45.13.11a, b",American Decorative Arts,1750
"1987.111a, b",American Decorative Arts,1830
"51.171.8a, b",American Decorative Arts,1830
51.171.9a–c,American Decorative Arts,1830
13.7.17,American Decorative Arts,1700
62.89.5,American Decorative Arts,1847
"10.149.224a, b",American Decorative Arts,1785
"10.149.225a, b",American Decorative Arts,1785
10.149.226,American Decorative Arts,1785
10.149.227,American Decorative Arts,1785
10.149.228,American Decorative Arts,1785
10.149.229,American Decorative Arts,1785
"15.98.3a, b",American Decorative Arts,1690
"33.120.350a, b",American Decorative Arts,1700
Inst.1976.13,American Decorative Arts,1976
"40.133.1a, b",American Decorative Arts,1745
"46.140.481a, b",American Decorative Arts,1882
"46.140.482a, b",American Decorative Arts,1882
"46.140.805a, b",American Decorative Arts,1855
"51.171.210a, b",American Decorative Arts,1830
"46.140.352a, b",American Decorative Arts,1832
"51.171.211a, b",American Decorative Arts,1830
"Inst.67.15.6a, b",American Decorative Arts,1815
"Inst.67.15.7a, b",American Decorative Arts,1815
1971.180.89a–c,American Decorative Arts,1832
10.149.230a–c,American Decorative Arts,1785
10.149.231a–c,American Decorative Arts,1785
1971.180.88a–c,American Decorative Arts,1832
"60.111.29a, b",American Decorative Arts,1790
"60.111.30a, b",American Decorative Arts,1790
"60.111.49a, b",American Decorative Arts,1860
"60.111.51a, b",American Decorative Arts,1860
"60.111.45a, b",American Decorative Arts,1860
"60.111.46a, b",American Decorative Arts,1860
"60.111.47a, b",American Decorative Arts,1860
"60.111.48a, b",American Decorative Arts,1860
"60.111.41a, b",American Decorative Arts,1860
"60.111.42a, b",American Decorative Arts,1860
"60.111.43a, b",American Decorative Arts,1860
"60.111.44a, b",American Decorative Arts,1860
"66.10.34a, b",American Decorative Arts,1800
"66.10.35a, b",American Decorative Arts,1800
"66.10.36a, b",American Decorative Arts,1800
"66.10.37a, b",American Decorative Arts,1800
"66.10.38a, b",American Decorative Arts,1800
"66.10.39a, b",American Decorative Arts,1800
"66.10.40a, b",American Decorative Arts,1800
"39.115.4a, b",American Decorative Arts,1849
20.109.10,American Decorative Arts,1828
"10.149.221a, b",American Decorative Arts,1785
"10.149.222a, b",American Decorative Arts,1785
"49.158a, b",American Decorative Arts,1782
13.120.18,American Decorative Arts,1780
"13.179.13a, b",American Decorative Arts,1800
13.179.15,American Decorative Arts,1780
"13.179.182a, b",American Decorative Arts,1820
14.120.21,American Decorative Arts,1780
"20.109.23a, b",American Decorative Arts,1820
"30.120.291a, b",American Decorative Arts,1825
"30.120.299a, b",American Decorative Arts,1780
"34.100.154a, b",American Decorative Arts,1797
"42.149.3a, b",American Decorative Arts,1770
"46.140.148a, b",American Decorative Arts,1830
"46.140.336a, b",American Decorative Arts,1840
"47.41a, b",American Decorative Arts,1815
"47.90.113a, b",American Decorative Arts,1830
"48.172.2a, b",American Decorative Arts,1787
"51.171.27a, b",American Decorative Arts,1835
"51.171.31a, b",American Decorative Arts,1832
"51.171.184a, b",American Decorative Arts,1800
"51.171.186a, b",American Decorative Arts,1835
"51.171.187a, b",American Decorative Arts,1830
"46.140.549a, b",American Decorative Arts,1870
"1971.181a, b",American Decorative Arts,1830
"1985.18a, b",American Decorative Arts,1830
"46.140.642a, b",American Decorative Arts,1870
"1982.440.2a, b",American Decorative Arts,1879
"23.80.23a, b",American Decorative Arts,1790
"46.140.443a, b",American Decorative Arts,1887
"1982.313a, b",American Decorative Arts,1850
"69.194.7a, b",American Decorative Arts,1873
"1983.63.1a, b",American Decorative Arts,1824
"2000.509.2a, b",American Decorative Arts,1815
"51.171.185a, b",American Decorative Arts,1830
1984.395.7,American Decorative Arts,1849
"1985.343.4a, b",American Decorative Arts,1732
"36.22.13a, b",American Decorative Arts,1750
"69.194.180a, b",American Decorative Arts,1885
"69.194.181a, b",American Decorative Arts,1885
"1986.443.6a, b",American Decorative Arts,1891
"1981.22.4a, b",American Decorative Arts,1835
"69.194.24a, b",American Decorative Arts,1843
"68.130.6a, b",American Decorative Arts,1827
"69.141.2a, b",American Decorative Arts,1850
"1983.69.2a, b",American Decorative Arts,1876
"40.57.4a, b",American Decorative Arts,1765
"17.55.2a, b",American Decorative Arts,1800
42.149.35a–c,American Decorative Arts,1800
"33.120.137a, b",American Decorative Arts,1795
"33.120.567a, b",American Decorative Arts,1790
"46.140.86a, b",American Decorative Arts,1850
"46.140.87a, b",American Decorative Arts,1850
"46.140.23a, b",American Decorative Arts,1850
"1970.126.4a, b",American Decorative Arts,1775
"31.127.1a, b",American Decorative Arts,1700
"69.184.1a, b",American Decorative Arts,1800
"69.184.2a, b",American Decorative Arts,1800
"69.184.3a, b",American Decorative Arts,1800
17.55.1,American Decorative Arts,1800
"56.181a, b",American Decorative Arts,1747
"37.134.1a, b",American Decorative Arts,1800
14.11.10,American Decorative Arts,1849
14.111.10,American Decorative Arts,1849
"38.129a, b",American Decorative Arts,1792
1984.395.9,American Decorative Arts,1849
"47.90.49a, b",American Decorative Arts,1830
"47.90.50a, b",American Decorative Arts,1830
"48.8.1a, b",American Decorative Arts,1783
"36.22.7a, b",American Decorative Arts,1750
"60.111.27a, b",American Decorative Arts,1790
"60.111.33a, b",American Decorative Arts,1860
1976.196.1a–c,American Decorative Arts,1900
1970.126.5a–c,American Decorative Arts,1813
1973.63,American Decorative Arts,1797
"54.87.34 a,b",American Decorative Arts,1785
"54.87.35a, b",American Decorative Arts,1785
"39.128a, b",American Decorative Arts,1790
"46.67.19a, b",American Decorative Arts,1770
"46.67.24a, b",American Decorative Arts,1736
"46.172.1a, b",American Decorative Arts,1770
"46.172.2a, b",American Decorative Arts,1770
"50.123.1a, b",American Decorative Arts,1770
"50.123.2a, b",American Decorative Arts,1770
"52.77.20a, b",American Decorative Arts,1757
1981.432.4,American Decorative Arts,1886
"1986.57a, b",American Decorative Arts,1886
"33.57.1a, b",American Decorative Arts,1727
"33.57.2a, b",American Decorative Arts,1727
"33.57.3a, b",American Decorative Arts,1727
"1971.180.111a, b",American Decorative Arts,1800
"1971.180.112a, b",American Decorative Arts,1800
"51.171.182a, b",American Decorative Arts,1830
"69.194.30a, b",American Decorative Arts,1885
"69.194.31a, b",American Decorative Arts,1885
"69.194.32a, b",American Decorative Arts,1885
1983.206.4,American Decorative Arts,1849
10.125.672,American Decorative Arts,1640
24.143,American Decorative Arts,1762
1971.217,American Decorative Arts,1815
13.120.24,American Decorative Arts,1820
39.18.2,American Decorative Arts,1767
1986.443.7,American Decorative Arts,1891
1987.31.4,American Decorative Arts,1845
Inst.68.6.2,American Paintings and Sculpture,0
1974.214.21d,American Decorative Arts,1900
1987.242.11,American Decorative Arts,1912
10.109.5,American Decorative Arts,1780
13.31.12,American Decorative Arts,1780
13.120.2,American Decorative Arts,1780
13.120.4,American Decorative Arts,1780
13.120.7,American Decorative Arts,1780
13.120.8,American Decorative Arts,1780
13.120.12,American Decorative Arts,1780
13.120.16,American Decorative Arts,1780
13.120.28,American Decorative Arts,1780
13.120.57,American Decorative Arts,1780
13.120.58,American Decorative Arts,1780
13.179.28,American Decorative Arts,1780
13.179.32,American Decorative Arts,1780
13.179.34,American Decorative Arts,1800
13.179.178,American Decorative Arts,1700
"14.36.6a, b",American Decorative Arts,1830
14.120.4,American Decorative Arts,1822
14.120.17,American Decorative Arts,1700
24.109.25,American Decorative Arts,1765
34.100.106,American Decorative Arts,1822
35.25.1,American Decorative Arts,1770
39.18.4,American Decorative Arts,1781
41.43.2,American Decorative Arts,1770
42.20.4,American Decorative Arts,1800
46.140.21,American Decorative Arts,1850
46.140.147,American Decorative Arts,1830
46.140.232,American Decorative Arts,1882
46.140.284,American Decorative Arts,1870
46.140.685,American Decorative Arts,1880
46.140.688,American Decorative Arts,1850
46.140.689,American Decorative Arts,1880
46.140.690,American Decorative Arts,1880
46.140.691,American Decorative Arts,1880
46.140.802,American Decorative Arts,1850
46.140.806,American Decorative Arts,1800
46.140.810,American Decorative Arts,1865
46.140.824,American Decorative Arts,1860
46.140.826,American Decorative Arts,1850
46.140.835,American Decorative Arts,1860
46.140.845,American Decorative Arts,1875
46.140.846,American Decorative Arts,1860
46.140.849,American Decorative Arts,1850
47.90.88,American Decorative Arts,1830
47.90.89,American Decorative Arts,1830
48.172.7,American Decorative Arts,1781
50.108,American Decorative Arts,1777
51.171.18,American Decorative Arts,1830
