Acquired,Department,Created
52.77.55,American Decorative Arts,1735
53.88,American Decorative Arts,1770
2006.90.1,American Decorative Arts,1862
69.158.5,American Decorative Arts,1850
1975.310,American Decorative Arts,1730
1978.401,American Decorative Arts,1805
1981.206,American Decorative Arts,1872
1984.287,American Decorative Arts,1770
1984.367,American Decorative Arts,1797
1986.204,American Decorative Arts,1852
50.145.46,American Decorative Arts,1794
59.154,American Decorative Arts,1765
44.106,American Decorative Arts,1800
1981.156.1,American Decorative Arts,1901
1979.305,American Decorative Arts,1735
1972.76,American Decorative Arts,1865
1978.500,American Decorative Arts,1897
1971.161,American Decorative Arts,1820
68.69.14,American Decorative Arts,1867
1982.69,American Decorative Arts,1877
1982.352,American Decorative Arts,1911
68.69.2,American Decorative Arts,1857
68.165.4,American Decorative Arts,1857
1975.157,American Decorative Arts,1877
45.105,American Decorative Arts,1801
1985.189,American Decorative Arts,1847
69.159.1,American Decorative Arts,1877
31.44.2,American Decorative Arts,1807
69.175,American Decorative Arts,1832
88.10.2,American Decorative Arts,1872
88.10.3,American Decorative Arts,1870
1970.35.1,American Decorative Arts,1867
1986.447.2,American Decorative Arts,1877
64.202.1,American Decorative Arts,1888
64.202.2,American Decorative Arts,1890
1979.130,American Decorative Arts,1901
1970.290.12,American Decorative Arts,1877
1970.290.13,American Decorative Arts,1877
68.133.2,American Decorative Arts,1868
68.133.3,American Decorative Arts,1868
69.258.3,American Decorative Arts,1859
69.258.4,American Decorative Arts,1859
11.60.148,American Decorative Arts,1740
11.60.149,American Decorative Arts,1740
30.120.7,American Decorative Arts,1790
30.120.76,American Decorative Arts,1800
32.55.6,American Decorative Arts,1795
32.55.7,American Decorative Arts,1795
46.67.97,American Decorative Arts,1795
46.67.98,American Decorative Arts,1795
57.130.2,American Decorative Arts,1850
57.130.3,American Decorative Arts,1850
1971.17.1,American Decorative Arts,1800
1971.17.2,American Decorative Arts,1800
69.262.3,American Decorative Arts,1845
69.262.4,American Decorative Arts,1851
60.4.2,American Decorative Arts,1791
60.4.3,American Decorative Arts,1810
1971.128.1,American Decorative Arts,1830
1971.128.2,American Decorative Arts,1830
1980.326.1,American Decorative Arts,1870
1980.326.2,American Decorative Arts,1870
68.214.2,American Decorative Arts,1887
68.214.3,American Decorative Arts,1887
1972.60.4,American Decorative Arts,1899
1972.60.5,American Decorative Arts,1899
1972.60.6,American Decorative Arts,1899
1972.60.7,American Decorative Arts,1899
Inst.X.6.1,American Decorative Arts,1800
68.111.1,American Decorative Arts,1852
68.111.2,American Decorative Arts,1857
25.173a–o,American Decorative Arts,1923
1982.287a–c,American Decorative Arts,1847
47.90.159,American Decorative Arts,1830
"43.162.7a, b",American Decorative Arts,1810
Inst.68.8.41,American Decorative Arts,1820
Inst.68.8.42,American Decorative Arts,1820
Inst.68.8.43,American Decorative Arts,1820
Inst.68.8.44,American Decorative Arts,1820
Inst.68.8.45,American Decorative Arts,1820
Inst.68.8.46,American Decorative Arts,1820
Inst.68.8.53,American Decorative Arts,1820
